Vegetable,Season,Month,Temp,Disaster,Condition,Price_per_kg
12,4,4,15,0,1,20
16,4,4,15,0,1,50
10,4,4,15,0,1,70
13,4,4,15,0,1,25
5,4,4,15,0,1,20
11,4,4,15,1,1,130
14,4,4,15,0,1,10
0,4,4,15,0,1,35
9,4,4,15,0,1,35
16,4,4,15,0,1,45
6,4,4,15,0,1,150
2,4,4,15,1,1,45
3,4,4,15,0,1,20
4,4,4,15,0,1,80
8,4,4,15,0,3,30
13,4,4,15,0,1,20
1,4,4,15,0,1,70
7,4,4,15,0,1,20
12,3,1,32,0,1,25
10,3,1,33,0,1,100
15,3,1,32,0,1,30
16,3,1,35,0,0,80
2,3,1,32,0,1,50
3,3,1,37,0,1,60
11,1,5,30,0,1,25
14,3,1,37,1,0,70
0,0,10,32,0,1,70
9,3,1,38,0,1,20
16,1,5,28,1,1,130
6,0,9,30,0,1,170
2,1,5,27,1,3,40
3,4,3,18,0,1,20
4,3,8,40,1,1,200
8,1,2,29,0,1,15
13,3,8,41,0,1,10
1,3,8,38,0,1,40
7,3,6,37,1,3,200
12,1,2,31,1,1,40
10,1,5,30,1,1,250
7,4,4,15,1,1,90
12,4,3,15,0,3,16
16,4,4,15,0,0,30
10,4,4,15,0,2,40
13,1,0,27,0,3,15
5,1,5,31,0,0,12
11,3,8,43,0,0,50
14,4,4,15,0,1,15
0,4,3,21,0,2,25
9,4,4,26,0,0,28
16,4,4,15,0,1,35
6,4,4,15,0,1,120
2,3,4,35,1,0,75
3,2,7,30,1,1,18
4,4,4,15,0,1,80
8,1,2,29,1,1,40
13,4,4,15,0,1,20
1,4,4,15,1,1,70
7,4,4,15,0,1,70
12,3,1,32,0,1,25
10,3,1,33,0,1,100
15,3,1,32,0,1,30
16,3,1,35,1,0,120
2,3,1,32,0,1,50
3,3,1,37,0,1,60
11,1,5,30,0,1,25
14,3,1,37,1,0,80
13,3,8,41,0,1,15
1,3,8,38,0,1,45
7,3,6,37,1,3,190
12,1,2,31,1,1,50
10,1,5,30,1,1,210
7,4,4,15,1,1,130
12,4,3,15,0,3,10
16,4,4,15,0,0,25
10,4,4,15,0,2,42
13,1,0,27,0,3,20
5,1,5,31,0,0,15
11,3,8,43,0,0,55
14,4,4,15,0,1,20
0,4,3,21,0,2,29
9,4,4,26,0,0,32
16,4,4,15,0,1,20
6,4,4,15,0,1,132
2,3,4,35,1,0,60
3,2,7,30,1,1,21
4,4,4,15,0,1,75
8,1,2,29,1,1,35
13,4,4,15,0,1,19
1,4,4,15,1,1,32
7,4,4,15,0,1,90
12,3,1,32,0,1,22
10,3,1,33,0,1,35
15,3,1,32,0,1,21
16,3,1,35,1,0,90
2,3,1,32,0,1,33
3,3,1,37,0,1,55
11,1,5,30,0,1,30
12,1,2,31,1,1,45
10,1,5,30,1,1,170
7,4,4,15,1,1,150
12,4,3,15,0,3,24
16,4,4,15,0,0,30
10,4,4,15,0,2,35
13,1,0,27,0,3,23
5,1,5,31,0,0,21
11,3,8,43,0,0,53
14,4,4,15,0,1,27
0,4,3,21,0,2,32
9,4,4,26,0,0,24
16,4,4,15,0,1,22
6,4,4,15,0,1,123
2,3,4,35,1,0,55
3,2,7,30,1,1,21
4,4,4,15,0,1,90
8,1,2,29,1,1,25
13,4,4,15,0,1,21
1,4,4,15,1,1,33
7,4,4,15,0,1,88
12,3,1,32,0,1,24
10,3,1,33,0,1,33
15,3,1,32,0,1,9
